iter	Passed	Remaining
622	3186	1927
623	3190	1922
624	3194	1916
625	3198	1910
626	3212	1911
627	3216	1905
628	3223	1901
629	3228	1896
630	3232	1890
631	3236	1884
632	3240	1878
633	3244	1872
634	3248	1867
635	3252	1861
636	3257	1856
637	3261	1850
638	3265	1844
639	3269	1838
640	3273	1833
641	3277	1827
642	3281	1822
643	3285	1816
644	3289	1810
645	3293	1804
646	3298	1799
647	3303	1794
648	3307	1788
649	3311	1783
650	3317	1778
651	3322	1773
652	3327	1768
653	3332	1763
654	3337	1757
655	3342	1752
656	3347	1747
657	3352	1742
658	3356	1737
659	3361	1731
660	3367	1726
661	3372	1721
662	3377	1716
663	3382	1711
664	3387	1706
665	3392	1701
666	3401	1698
667	3407	1693
668	3412	1688
669	3416	1682
670	3431	1682
671	3437	1677
672	3442	1672
673	3449	1668
674	3455	1663
675	3461	1658
676	3466	1654
677	3473	1649
678	3478	1644
679	3484	1639
680	3490	1634
681	3495	1629
682	3501	1624
683	3506	1620
684	3512	1615
685	3517	1610
686	3523	1605
687	3528	1600
688	3534	1595
689	3539	1590
690	3544	1585
691	3551	1580
692	3556	1575
693	3562	1570
694	3567	1565
695	3573	1560
696	3578	1555
697	3583	1550
698	3588	1545
699	3594	1540
700	3599	1535
701	3604	1530
702	3609	1525
703	3615	1520
704	3621	1515
705	3627	1510
706	3632	1505
707	3638	1500
708	3643	1495
709	3648	1490
710	3652	1484
711	3657	1479
712	3663	1474
713	3668	1469
714	3673	1464
715	3678	1459
716	3683	1454
717	3689	1448
718	3694	1443
719	3699	1438
720	3708	1435
721	3727	1435
722	3751	1437
723	3758	1432
724	3765	1428
725	3770	1423
726	3776	1417
727	3781	1412
728	3786	1407
729	3791	1402
730	3796	1397
731	3802	1392
732	3807	1386
733	3812	1381
734	3816	1376
735	3820	1370
736	3826	1365
737	3832	1360
738	3837	1355
739	3843	1350
740	3848	1345
741	3853	1339
742	3858	1334
743	3863	1329
744	3869	1324
745	3874	1319
746	3879	1313
747	3884	1308
748	3889	1303
749	3894	1298
750	3899	1292
751	3904	1287
752	3909	1282
753	3914	1277
754	3919	1271
755	3924	1266
756	3929	1261
757	3934	1256
758	3950	1254
759	3958	1250
760	3976	1249
761	3987	1245
762	3993	1240
763	3998	1235
764	4003	1229
765	4008	1224
766	4013	1219
767	4018	1213
768	4024	1208
769	4030	1203
770	4035	1198
771	4041	1193
772	4046	1188
773	4052	1183
774	4058	1178
775	4064	1173
776	4069	1168
777	4074	1162
778	4080	1157
779	4086	1152
780	4091	1147
781	4098	1142
782	4103	1137
783	4109	1132
784	4115	1127
785	4121	1122
786	4127	1117
787	4133	1112
788	4138	1106
789	4144	1101
790	4149	1096
791	4154	1091
792	4160	1085
793	4165	1080
794	4170	1075
795	4175	1070
796	4180	1064
797	4185	1059
798	4190	1054
799	4195	1048
800	4201	1043
801	4206	1038
802	4211	1033
803	4215	1027
804	4220	1022
805	4225	1017
806	4232	1012
807	4238	1007
808	4243	1001
809	4249	996
810	4254	991
811	4259	986
812	4264	980
813	4268	975
814	4273	970
815	4278	964
816	4283	959
817	4288	954
818	4294	949
819	4299	943
820	4304	938
821	4309	933
822	4314	927
823	4320	922
824	4326	917
825	4331	912
826	4336	907
827	4341	901
828	4346	896
829	4351	891
830	4356	886
831	4361	880
832	4366	875
833	4371	870
834	4376	864
835	4381	859
836	4386	854
837	4391	849
838	4396	843
839	4401	838
840	4406	833
841	4411	827
842	4416	822
843	4421	817
844	4426	811
845	4431	806
846	4437	801
847	4442	796
848	4447	790
849	4452	785
